,count_x,sending_count,receiving_count,active_count,new_non_zero_count,difficulty_mean,difficulty_latest,hash_rate_mean,count_y,rate,size_mean,size_sum,transfers_volume_sum,transfers_volume_mean,transfers_volume_median,volume_sum,volume_mean,volume_median,difficulty_ribbon,sopr,stock_to_flow_ratio,pi_cycle_top,utxo_count,utxo_created_count,utxo_spent_count,utxo_created_value_sum,utxo_spent_value_sum,utxo_created_value_mean,utxo_spent_value_mean,utxo_created_value_median,utxo_spent_value_median,block_height,block_count,block_interval_mean,block_interval_median,block_size_mean,block_size_sum,current,active_more_1y_percent,price_drawdown_relative
2020-12-15,751289400,644895,722537,1047008,521913,80187763369133700000000,80187763369133700000000,1.30096496450177e+20,320300,3.7071759259259274,564.7670964720539,180894901,2159370.18785083,6.74171148251905,0.03422802,70.05172631,0.00021870660727443,0.00011166,7.855174277023027e+22,1.01176868604825,31306.671193916787,13723.370280100644,115593433,918314,840308,2160315.23957714,2159440.23957714,2.35247991381721,2.5698199226678,0.00721358,0.00890172,661536,140,616.371428571429,419,1292509.96428571,180951395,18572106.25,0.605112676289763,-0.02093620591579093
2020-12-16,751809697,645112,751141,1093051,520297,80187763369133700000000,80187763369133700000000,1.3212635719389e+20,315074,3.646689814814815,594.163082323512,187205339,2708623.9444307005,8.596786610227179,0.0374497,79.9044725,0.0002536054149184,0.00013526,7.860953579058781e+22,1.02274250313007,31508.675006853104,13801.476993352217,115662646,942823,873610,2709597.5989032,2708703.8489032,2.8739197059291,3.10058704559609,0.00716038,0.00913638,661679,143,606.902097902098,418,1309532.6993007,187263176,18573000.0,0.603996916400823,-0.005309991372239198
2020-12-17,752342714,589572,754474,1068910,533017,80187763369133700000000,80187763369133700000000,1.20924230791745e+20,309352,3.580462962962963,541.889831001581,167634703,2502142.58884354,8.0883349351016,0.04920021,162.99271891,0.000526884322422354,0.00028321,7.866732881094528e+22,1.04435628368568,31711.822077201825,13901.641169045994,115823732,933975,772889,2503111.83156245,2502305.58156245,2.68006299051096,3.23760020075644,0.00889792,0.01249,661808,129,663.124031007752,475,1299902.84496124,167687467,18573806.25,0.6034650682567281,-0.035500376288231106
2020-12-18,752939028,694062,851911,1193436,596314,80187763369133700000000,80187763369133700000000,1.4557508411042898e+20,375392,4.344814814814815,531.625154505157,199567830,2434754.75387666,6.4858994168140685,0.03580871,195.47135264,0.000520712622112352,0.00028941,7.872512183130279e+22,1.04674295198543,31943.733145985883,14003.84337551336,115978428,1078949,924253,2435931.4752293,2434950.2252293,2.25768917273132,2.63450616360381,0.00735309,0.01169044,661965,157,550.834394904459,377,1271535.98726115,199631150,18574787.5,0.602424582873064,-0.023314110735414117
2020-12-19,753481884,716929,756092,1165894,542856,80187763369133700000000,80187763369133700000000,1.4572717834305e+20,343378,3.9742824074074083,582.174603498185,199905951,1664018.58183008,4.84602560976558,0.02475586,119.96753977,0.000349374566134115,0.0001808,7.87829148516603e+22,1.01999585592218,32173.483613661636,14109.418899002356,115966990,960370,971808,1665126.04936985,1664138.54936985,1.73383805134464,1.7124149516878402,0.00544462,0.00821751,662123,158,550.259493670886,398,1265624.47468354,199968667,18575775.0,0.6020013364035319,-0.009303642775364551
2020-12-20,753947096,711846,638805,1078245,465212,80187763369133700000000,80187763369133700000000,1.41220096205307e+20,281892,3.262638888888889,719.732156286806,202886737,1322022.65459881,4.68981969902937,0.02139035,73.5149194,0.000260791080981369,0.00010174,7.884070787201781e+22,1.02892493184474,32474.407087101317,14216.525135108965,115790338,802023,978675,1323039.91951821,1322096.16951821,1.6496284015772802,1.35090420161771,0.0048,0.00481268,662274,151,567.82119205298,398,1344026.09271523,202947940,18576718.75,0.6001602210711601,-0.025324087322590283
2020-12-21,754408307,715418,649831,1125440,461211,80187763369133700000000,80187763369133700000000,1.2546780126557102e+20,269698,3.1215046296296296,678.225878575285,182916163,1742589.2015048,6.46126111986301,0.03950324,138.56269222,0.000513769817425417,0.00025135,7.889850089237533e+22,1.01816363025931,32779.8675950709,14318.911772067266,115718485,801093,872946,1743577.76419702,1742727.76419702,2.17649856408309,1.99637522160251,0.00723218,0.00453574,662410,136,639.1102941176471,455,1345368.5,182970116,18577568.75,0.599138335887927,-0.05323299841950657
2020-12-22,754936517,669771,738830,1099356,528210,80187763369133700000000,80187763369133700000000,1.32165952003621e+20,324020,3.7502314814814817,574.469819764209,186139711,2039768.30718374,6.29519260287551,0.03347859,133.02681427,0.00041055124458366804,0.00022200000000000006,7.895629391273284e+22,1.0361120249428002,33000.190197016986,14422.519974364752,115777261,940355,881579,2040795.08399801,2039901.33399801,2.1702389884650097,2.31391779295788,0.00700846,0.00821472,662553,143,606.72027972028,426,1302079.02097902,186197300,18578462.5,0.5969839432291539,-0.016667705021668366
2020-12-23,755476747,684823,782721,1131834,540230,80187763369133700000000,80187763369133700000000,1.46111617294113e+20,338309,3.915613425925927,567.128172765143,191864565,2004898.91187042,5.9262358136213305,0.03410289,143.04461152,0.000422822365115915,0.00021922,7.901408693309031e+22,1.03423208351492,33151.4621480649,14534.947990230525,115867479,1000784,910566,2006004.45648194,2005041.95648194,2.0044329810248103,2.20197323036653,0.00698,0.01,662707,154,548.811688311688,411,1246276.93506494,191926648,18579425.0,0.596198387501514,-0.036508414447248505
2020-12-24,755924176,587208,639266,972137,447429,80187763369133700000000,80187763369133700000000,1.14954071251531e+20,269433,3.1184375,593.778568326828,159983541,2114268.52966842,7.84710310046809,0.03262542,106.42944422,0.000395012653312697,0.00021922,7.907187995344788e+22,1.02930183930077,33354.431548420725,14650.370506096204,115914123,813920,767276,2115162.45911264,2114374.95911264,2.59873508343897,2.7556902067999705,0.00611837,0.00751878,662833,126,697.5634920634918,500,1270105.95238095,160033350,18580212.5,0.5960834945492309,-0.01642683670357781
2020-12-25,756398843,662802,662961,1025877,474667,80187763369133700000000,80187763369133700000000,1.33658648082638e+20,303757,3.5157060185185185,609.380488350886,185103589,2042482.30532687,6.7240666234090485,0.02597235,92.48494577,0.00030447017112362795,0.00017405,7.912967297380537e+22,1.00820855239151,33652.34214212102,14773.996362778327,115859943,847493,901673,2043474.79027264,2042574.79027264,2.41119960905002,2.26531657294013,0.00548625,0.00644291,662977,144,599.944444444444,457,1285844.18055556,185161562,18581112.5,0.596005414279593,-0.001588564905781964
2020-12-26,756847122,598441,627828,949564,448279,80187763369133700000000,80187763369133700000000,1.27352989515329e+20,273817,3.1691782407407407,692.6891281403322,189670059,2012611.37889429,7.35020608250868,0.03039211,69.64322741,0.00025434223371814,0.000106,7.918746599416291e+22,1.01893956691808,33895.581957451184,14909.464547118903,115792646,795770,863067,2013537.2721217,2012681.0221217,2.5303005543331496,2.33201017084618,0.00572465,0.006999999999999999,663114,137,629.649635036496,444,1384865.83941606,189726620,18581968.75,0.5956952984810829,-0.009068720192604518
2020-12-27,757350568,667385,696511,1060060,503446,80187763369133700000000,80187763369133700000000,1.36527494404802e+20,308857,3.574733796296296,624.64626348115,192926371,2513597.70435212,8.138386710847112,0.0289695,91.99329678,0.00029785077488935,0.00015991,7.924525901452041e+22,1.02814020638337,34136.80638868248,15061.393131937493,115743277,879278,928647,2514614.6976489,2513689.6976489,2.85986308954495,2.70683014929128,0.00555562,0.00639255,663262,148,587.337837837838,455,1303959.72972973,192986040,18582893.75,0.5950729522882621,-0.06718870639748377
