,outliers_cutoff,pca_n,top_features_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2,tier
174,3.5,3.0,40,6253,0.56,19720,0.5,Tier 1
175,3.5,5.0,10,1812,0.96,9484,0.51,Tier 1
176,3.5,5.0,15,3618,0.85,10171,0.41,Tier 1
177,3.5,5.0,20,4729,0.75,9125,0.38,Tier 1
178,3.5,5.0,30,4735,0.74,22828,0.39,Tier 1
179,3.5,5.0,40,4844,0.74,19331,0.14,Tier 1
180,3.5,7.0,10,1688,0.96,10137,0.52,Tier 1
181,3.5,7.0,15,1557,0.97,11825,0.35,Tier 1
182,3.5,7.0,20,1679,0.97,8003,0.68,Tier 1
183,3.5,7.0,30,3063,0.9,15156,0.12,Tier 1
184,3.5,7.0,40,4611,0.76,20045,0.19,Tier 1
185,3.5,10.0,10,1670,0.97,9399,0.55,Tier 1
186,3.5,10.0,15,1572,0.97,11874,0.38,Tier 1
187,3.5,10.0,20,1534,0.97,8268,0.74,Tier 1
188,3.5,10.0,30,1853,0.96,15453,0.08,Tier 1
189,3.5,10.0,40,4539,0.77,21886,0.45,Tier 1
190,3.5,12.0,15,1560,0.97,11136,0.41,Tier 1
191,3.5,12.0,20,1519,0.97,9738,0.59,Tier 1
192,3.5,12.0,30,1540,0.97,22866,0.17,Tier 1
193,3.5,12.0,40,2541,0.93,21648,0.35,Tier 1
194,3.5,15.0,15,1528,0.97,11101,0.4,Tier 1
195,3.5,15.0,20,1503,0.97,12075,0.37,Tier 1
196,3.5,15.0,30,1571,0.97,11826,0.36,Tier 1
197,3.5,15.0,40,1508,0.97,23497,0.3,Tier 1
198,3.5,17.0,20,1574,0.97,6719,0.71,Tier 1
199,3.5,17.0,30,1562,0.97,23993,0.28,Tier 1
200,3.5,17.0,40,1549,0.97,21320,0.31,Tier 1
201,3.5,20.0,20,1502,0.97,9623,0.66,Tier 1
202,3.5,20.0,30,1515,0.97,23598,0.27,Tier 1
203,3.5,20.0,40,1538,0.97,20200,0.05,Tier 1
204,1.0,3.0,10,1376,0.85,11469,0.4,Tier 1_2
205,1.0,3.0,15,891,0.93,11160,0.78,Tier 1_2
206,1.0,3.0,20,852,0.93,14444,0.56,Tier 1_2
207,1.0,3.0,30,5,1.0,14076,0.04,Tier 1_2
208,1.0,5.0,10,1014,0.92,13450,0.36,Tier 1_2
209,1.0,5.0,15,666,0.96,9020,0.72,Tier 1_2
210,1.0,5.0,20,625,0.96,10585,0.47,Tier 1_2
211,1.0,5.0,30,2,1.0,15935,0.01,Tier 1_2
212,1.0,7.0,10,986,0.92,12031,0.26,Tier 1_2
213,1.0,7.0,15,663,0.96,9052,0.7,Tier 1_2
214,1.0,7.0,20,602,0.97,11931,0.4,Tier 1_2
215,1.0,7.0,30,1,1.0,14878,0.0,Tier 1_2
216,1.0,10.0,10,903,0.94,10809,0.34,Tier 1_2
217,1.0,10.0,15,542,0.97,10489,0.62,Tier 1_2
218,1.0,10.0,20,539,0.97,11362,0.42,Tier 1_2
219,1.0,10.0,30,0,1.0,16626,0.0,Tier 1_2
220,1.0,12.0,15,514,0.98,9051,0.69,Tier 1_2
221,1.0,12.0,20,531,0.98,10033,0.52,Tier 1_2
222,1.0,12.0,30,0,1.0,15860,0.01,Tier 1_2
223,1.0,15.0,15,541,0.98,10966,0.62,Tier 1_2
224,1.0,15.0,20,420,0.98,10639,0.47,Tier 1_2
225,1.0,15.0,30,0,1.0,14836,0.01,Tier 1_2
226,1.0,17.0,20,377,0.99,11727,0.39,Tier 1_2
227,1.0,17.0,30,0,1.0,15822,0.01,Tier 1_2
228,1.0,20.0,20,873,0.98,12050,0.41,Tier 1_2
229,1.0,20.0,30,0,1.0,15761,0.01,Tier 1_2
230,1.5,3.0,10,1578,0.84,10112,0.75,Tier 1_2
231,1.5,3.0,15,1627,0.82,9274,0.86,Tier 1_2
232,1.5,3.0,20,1679,0.8,9414,0.88,Tier 1_2
233,1.5,3.0,30,942,0.92,10945,0.36,Tier 1_2
234,1.5,3.0,40,1179,0.9,10388,0.77,Tier 1_2
235,1.5,5.0,10,1074,0.92,9269,0.68,Tier 1_2
236,1.5,5.0,15,966,0.93,11282,0.73,Tier 1_2
237,1.5,5.0,20,951,0.93,11297,0.68,Tier 1_2
238,1.5,5.0,30,832,0.93,11954,0.25,Tier 1_2
239,1.5,5.0,40,987,0.93,9761,0.6,Tier 1_2
240,1.5,7.0,10,1040,0.93,9832,0.72,Tier 1_2
241,1.5,7.0,15,923,0.94,8480,0.69,Tier 1_2
242,1.5,7.0,20,818,0.95,10865,0.63,Tier 1_2
243,1.5,7.0,30,688,0.95,13142,0.27,Tier 1_2
244,1.5,7.0,40,918,0.94,10290,0.81,Tier 1_2
245,1.5,10.0,10,976,0.94,8274,0.7,Tier 1_2
246,1.5,10.0,15,734,0.96,11025,0.71,Tier 1_2
247,1.5,10.0,20,828,0.95,8703,0.66,Tier 1_2
248,1.5,10.0,30,524,0.97,13433,0.26,Tier 1_2
249,1.5,10.0,40,554,0.98,12816,0.7,Tier 1_2
250,1.5,12.0,15,691,0.97,9913,0.69,Tier 1_2
251,1.5,12.0,20,610,0.97,9641,0.55,Tier 1_2
252,1.5,12.0,30,461,0.98,11218,0.33,Tier 1_2
253,1.5,12.0,40,558,0.98,9919,0.66,Tier 1_2
254,1.5,15.0,15,610,0.97,9676,0.69,Tier 1_2
255,1.5,15.0,20,598,0.97,9966,0.53,Tier 1_2
256,1.5,15.0,30,381,0.99,15224,0.25,Tier 1_2
257,1.5,15.0,40,364,0.99,9937,0.61,Tier 1_2
258,1.5,17.0,20,471,0.98,12032,0.66,Tier 1_2
259,1.5,17.0,30,376,0.99,12567,0.22,Tier 1_2
260,1.5,17.0,40,344,0.99,9987,0.63,Tier 1_2
261,1.5,20.0,20,478,0.98,11113,0.62,Tier 1_2
262,1.5,20.0,30,341,0.99,13872,0.17,Tier 1_2
263,1.5,20.0,40,320,0.99,10018,0.7,Tier 1_2
264,2.0,3.0,10,2727,0.82,8202,0.73,Tier 1_2
265,2.0,3.0,15,1792,0.82,10462,0.81,Tier 1_2
266,2.0,3.0,20,1932,0.79,8899,0.77,Tier 1_2
267,2.0,3.0,30,1058,0.92,13237,0.24,Tier 1_2
268,2.0,3.0,40,1084,0.92,15487,0.27,Tier 1_2
269,2.0,5.0,10,1361,0.95,7491,0.69,Tier 1_2
270,2.0,5.0,15,1342,0.9,9904,0.71,Tier 1_2
271,2.0,5.0,20,1310,0.9,11763,0.61,Tier 1_2
272,2.0,5.0,30,1014,0.93,13078,0.23,Tier 1_2
273,2.0,5.0,40,1127,0.91,11990,0.23,Tier 1_2
274,2.0,7.0,10,1172,0.97,8375,0.65,Tier 1_2
275,2.0,7.0,15,1120,0.93,10902,0.74,Tier 1_2
276,2.0,7.0,20,935,0.95,12196,0.56,Tier 1_2
277,2.0,7.0,30,796,0.96,14641,0.24,Tier 1_2
278,2.0,7.0,40,887,0.94,13656,0.31,Tier 1_2
279,2.0,10.0,10,1129,0.97,9508,0.67,Tier 1_2
280,2.0,10.0,15,863,0.96,9854,0.64,Tier 1_2
281,2.0,10.0,20,938,0.95,10315,0.54,Tier 1_2
282,2.0,10.0,30,525,0.98,12890,0.24,Tier 1_2
283,2.0,10.0,40,800,0.95,13928,0.27,Tier 1_2
284,2.0,12.0,15,854,0.96,9556,0.63,Tier 1_2
285,2.0,12.0,20,883,0.95,13072,0.54,Tier 1_2
286,2.0,12.0,30,482,0.98,12754,0.19,Tier 1_2
287,2.0,12.0,40,694,0.97,12947,0.28,Tier 1_2
288,2.0,15.0,15,729,0.97,10869,0.63,Tier 1_2
289,2.0,15.0,20,651,0.98,11143,0.51,Tier 1_2
290,2.0,15.0,30,430,0.99,14839,0.27,Tier 1_2
291,2.0,15.0,40,472,0.99,12927,0.26,Tier 1_2
292,2.0,17.0,20,643,0.98,10740,0.56,Tier 1_2
293,2.0,17.0,30,441,0.99,14710,0.23,Tier 1_2
294,2.0,17.0,40,439,0.99,11578,0.71,Tier 1_2
295,2.0,20.0,20,624,0.98,11416,0.54,Tier 1_2
296,2.0,20.0,30,418,0.99,12014,0.24,Tier 1_2
297,2.0,20.0,40,425,0.99,12221,0.25,Tier 1_2
