,stock,463d-daily-flow,463-day-flow,463-day-sf
28.12.2019,18127812.5,1829.4546436285095,847037.5,21.40142850818293
29.12.2019,18129750.0,1829.4546436285095,847037.5,21.403715892153535
30.12.2019,18131825.0,1829.8866090712745,847237.5,21.40111243895602
31.12.2019,18133637.5,1829.8056155507559,847200.0,21.404199126534465
01.01.2020,18135812.5,1829.94060475162,847262.5,21.405187294374528
02.01.2020,18137575.0,1829.9946004319654,847287.5,21.406635882153342
03.01.2020,18139687.5,1830.6965442764574,847612.5,21.400920231827634
04.01.2020,18141787.5,1831.074514038877,847787.5,21.398979697152882
05.01.2020,18143825.0,1831.3714902807776,847925.0,21.397912551227996
06.01.2020,18145512.5,1830.6155507559397,847575.0,21.408739639559922
07.01.2020,18147712.5,1831.1015118790494,847800.0,21.40565286624204
08.01.2020,18149487.5,1831.2365010799133,847862.5,21.406168453021568
09.01.2020,18151450.0,1831.5604751619874,848012.5,21.40469627511387
10.01.2020,18153312.5,1831.5334773218146,848000.0,21.407208136792452
11.01.2020,18155350.0,1832.424406047516,848412.5,21.399201449766476
12.01.2020,18157237.5,1833.1263498920086,848737.5,21.393231122696946
13.01.2020,18159025.0,1833.1533477321814,848750.0,21.39502209131075
14.01.2020,18160837.5,1833.4233261339093,848875.0,21.394006773671034
15.01.2020,18162725.0,1833.9902807775375,849137.5,21.389615933815193
16.01.2020,18164712.5,1834.3952483801295,849325.0,21.387233979925234
17.01.2020,18166700.0,1834.3952483801295,849325.0,21.38957407352898
18.01.2020,18168350.0,1834.3952483801295,849325.0,21.391516792747183
19.01.2020,18170225.0,1834.638228941685,849437.5,21.390891030829223
20.01.2020,18172125.0,1835.6641468682503,849912.5,21.381171591193212
21.01.2020,18174037.5,1835.4211663066958,849800.0,21.386252647681808
22.01.2020,18175987.5,1835.9881209503242,850062.5,21.38194250422763
23.01.2020,18177975.0,1836.5550755939526,850325.0,21.377679122688384
24.01.2020,18179875.0,1836.9330453563714,850500.0,21.375514403292183
25.01.2020,18181925.0,1837.5269978401727,850775.0,21.37101466310129
26.01.2020,18183712.5,1837.5269978401727,850775.0,21.37311568863683
27.01.2020,18185325.0,1837.2840172786175,850662.5,21.37783786166664
28.01.2020,18187100.0,1836.9330453563714,850500.0,21.384009406231627
29.01.2020,18189100.0,1837.0950323974082,850575.0,21.384475207947563
30.01.2020,18191050.0,1838.255939524838,851112.5,21.37326146660988
31.01.2020,18192850.0,1838.4449244060474,851200.0,21.373179041353385
01.02.2020,18194737.5,1838.6609071274295,851300.0,21.37288558674968
02.02.2020,18196525.0,1838.8498920086392,851387.5,21.372788536359767
03.02.2020,18198375.0,1839.0658747300213,851487.5,21.372451151661064
04.02.2020,18200025.0,1838.687904967603,851312.5,21.378782761911754
05.02.2020,18202012.5,1838.8228941684665,851375.0,21.379547790339156
06.02.2020,18203700.0,1838.0669546436288,851025.0,21.390323433506655
07.02.2020,18205437.5,1837.6619870410366,850837.5,21.397079348289186
08.02.2020,18207175.0,1837.5539956803455,850787.5,21.40037906057623
09.02.2020,18209087.5,1837.3380129589634,850687.5,21.405142899125707
10.02.2020,18210612.5,1837.3110151187907,850675.0,21.407250124900813
11.02.2020,18212462.5,1837.4190064794816,850725.0,21.408166563813218
12.02.2020,18214237.5,1837.7969762419007,850900.0,21.40584968856505
13.02.2020,18216000.0,1838.0939524838013,851037.5,21.40446220054933
14.02.2020,18217687.5,1838.4719222462204,851212.5,21.402044142913784
15.02.2020,18219462.5,1838.876889848812,851400.0,21.39941566831102
16.02.2020,18221237.5,1839.1738660907129,851537.5,21.398044713239287
17.02.2020,18223200.0,1839.4708423326133,851675.0,21.39689435524114
18.02.2020,18225075.0,1839.7408207343408,851800.0,21.39595562338577
19.02.2020,18226837.5,1840.3077753779694,852062.5,21.391432553363163
20.02.2020,18228412.5,1840.0647948164144,851950.0,21.396105992135688
21.02.2020,18230337.5,1840.79373650108,852287.5,21.389891908540253
22.02.2020,18232187.5,1841.3876889848807,852562.5,21.38516237812477
23.02.2020,18233962.5,1841.3066954643627,852525.0,21.388185097211224
24.02.2020,18235725.0,1841.7926565874732,852750.0,21.384608619173264
25.02.2020,18237525.0,1842.2786177105831,852975.0,21.38107799173481
26.02.2020,18239225.0,1842.3866090712745,853025.0,21.381817648955188
27.02.2020,18241062.5,1843.5205183585315,853550.0,21.37081893269287
28.02.2020,18243037.5,1844.492440604752,854000.0,21.3618706088993
29.02.2020,18244775.0,1844.8704103671707,854175.0,21.35952819972488
01.03.2020,18246987.5,1845.7883369330455,854600.0,21.351494851392463
02.03.2020,18248850.0,1846.3822894168466,854875.0,21.346805088463224
03.03.2020,18250762.5,1847.516198704104,855400.0,21.335939326630815
04.03.2020,18252850.0,1848.4881209503242,855850.0,21.327160133200913
05.03.2020,18254887.5,1849.7030237580993,856412.5,21.31553135901216
06.03.2020,18256825.0,1851.0529157667386,857037.5,21.302247567930223
07.03.2020,18258787.5,1852.5647948164144,857737.5,21.287150789140036
08.03.2020,18260762.5,1853.4827213822891,858162.5,21.278909880121773
09.03.2020,18262637.5,1854.4546436285095,858612.5,21.26994132976168
10.03.2020,18264287.5,1854.94060475162,858837.5,21.266290188772615
11.03.2020,18265775.0,1854.427645788337,858600.0,21.273905194502678
12.03.2020,18267662.5,1854.9946004319654,858862.5,21.269600780101587
13.03.2020,18269225.0,1854.724622030237,858737.5,21.27451636850609
14.03.2020,18270825.0,1855.1025917926565,858912.5,21.272044591270937
15.03.2020,18272312.5,1854.8866090712745,858812.5,21.276253547776726
16.03.2020,18273800.0,1854.6436285097195,858700.0,21.280773261907534
17.03.2020,18275337.5,1854.6166306695466,858687.5,21.282873571584542
18.03.2020,18276587.5,1853.9416846652268,858375.0,21.292078054463374
