,value
12/17/2012 00:00:00,146431642
12/18/2012 00:00:00,145691700
12/19/2012 00:00:00,148610702
12/20/2012 00:00:00,148165611
12/21/2012 00:00:00,146406879
12/22/2012 00:00:00,146405843
12/23/2012 00:00:00,145732896
12/24/2012 00:00:00,146724836
12/25/2012 00:00:00,146835771
12/26/2012 00:00:00,146192205
12/27/2012 00:00:00,146398722
12/28/2012 00:00:00,146171436
12/29/2012 00:00:00,147181053
12/30/2012 00:00:00,146442316
12/31/2012 00:00:00,146853797
01/01/2013 00:00:00,146623541
01/02/2013 00:00:00,145315107
01/03/2013 00:00:00,146316165
01/04/2013 00:00:00,146298076
01/05/2013 00:00:00,145922885
01/06/2013 00:00:00,145909707
01/07/2013 00:00:00,146409263
01/08/2013 00:00:00,149763404
01/09/2013 00:00:00,150641951
01/10/2013 00:00:00,155284699
01/11/2013 00:00:00,155203315
01/12/2013 00:00:00,154049112
01/13/2013 00:00:00,151301016
01/14/2013 00:00:00,156675903
01/15/2013 00:00:00,157601668
01/16/2013 00:00:00,162010863
01/17/2013 00:00:00,172563906
01/18/2013 00:00:00,173610993
01/19/2013 00:00:00,171822024
01/20/2013 00:00:00,173864275
01/21/2013 00:00:00,184000878
01/22/2013 00:00:00,193116093
01/23/2013 00:00:00,194783322
01/24/2013 00:00:00,191719773
01/25/2013 00:00:00,194730054
01/26/2013 00:00:00,195972341
01/27/2013 00:00:00,196944652
01/28/2013 00:00:00,208465568
01/29/2013 00:00:00,216009564
01/30/2013 00:00:00,217310249
01/31/2013 00:00:00,229626461
02/01/2013 00:00:00,227616939
02/02/2013 00:00:00,221493870
02/03/2013 00:00:00,229372138
02/04/2013 00:00:00,227177527
02/05/2013 00:00:00,229837504
02/06/2013 00:00:00,235317879
02/07/2013 00:00:00,244941238
02/08/2013 00:00:00,253348427
02/09/2013 00:00:00,263812544
02/10/2013 00:00:00,268869951
02/11/2013 00:00:00,271143738
02/12/2013 00:00:00,283445843
02/13/2013 00:00:00,274791208
02/14/2013 00:00:00,305397942
02/15/2013 00:00:00,304390054
02/16/2013 00:00:00,306082378
02/17/2013 00:00:00,300846719
02/18/2013 00:00:00,299046460
02/19/2013 00:00:00,328078189
02/20/2013 00:00:00,333552859
02/21/2013 00:00:00,333264781
02/22/2013 00:00:00,339986973
02/23/2013 00:00:00,332349435
02/24/2013 00:00:00,332071214
02/25/2013 00:00:00,339172909
02/26/2013 00:00:00,346531533
02/27/2013 00:00:00,348502874
02/28/2013 00:00:00,375035679
03/01/2013 00:00:00,387046926
03/02/2013 00:00:00,384664111
03/03/2013 00:00:00,388010137
03/04/2013 00:00:00,408907092
03/05/2013 00:00:00,459389105
03/06/2013 00:00:00,480372348
03/07/2013 00:00:00,484534902
03/08/2013 00:00:00,489866024
03/09/2013 00:00:00,530999908
03/10/2013 00:00:00,525877859
03/11/2013 00:00:00,544714001
03/12/2013 00:00:00,510284879
03/13/2013 00:00:00,541066637
03/14/2013 00:00:00,520992890
03/15/2013 00:00:00,519841750
03/16/2013 00:00:00,523524890
03/17/2013 00:00:00,524334571
03/18/2013 00:00:00,568723126
03/19/2013 00:00:00,658819399
03/20/2013 00:00:00,713288959
03/21/2013 00:00:00,786991851
03/22/2013 00:00:00,777581569
03/23/2013 00:00:00,714750283
03/24/2013 00:00:00,788258788
03/25/2013 00:00:00,838357340
03/26/2013 00:00:00,887832244
03/27/2013 00:00:00,993943640
03/28/2013 00:00:00,989868516
03/29/2013 00:00:00,1011449559
03/30/2013 00:00:00,1031913113
03/31/2013 00:00:00,1056264733
04/01/2013 00:00:00,1182040836
04/02/2013 00:00:00,1399764515
04/03/2013 00:00:00,1586217402
04/04/2013 00:00:00,1587608781
04/05/2013 00:00:00,1651872981
04/06/2013 00:00:00,1618582324
04/07/2013 00:00:00,1889340992
04/08/2013 00:00:00,2155797831
04/09/2013 00:00:00,2637202263
04/10/2013 00:00:00,1929040686
04/11/2013 00:00:00,1039123959
04/12/2013 00:00:00,1269253444
04/13/2013 00:00:00,1052297879
04/14/2013 00:00:00,1036140814
04/15/2013 00:00:00,911142807
04/16/2013 00:00:00,792906063
04/17/2013 00:00:00,1057961347
04/18/2013 00:00:00,1265472270
04/19/2013 00:00:00,1357889856
04/20/2013 00:00:00,1458868519
04/21/2013 00:00:00,1311163842
04/22/2013 00:00:00,1444027743
04/23/2013 00:00:00,1621285536
04/24/2013 00:00:00,1757223801
04/25/2013 00:00:00,1662567940
04/26/2013 00:00:00,1604148852
04/27/2013 00:00:00,1508053433
04/28/2013 00:00:00,1500318502
04/29/2013 00:00:00,1594411165
04/30/2013 00:00:00,1625021529
05/01/2013 00:00:00,1358644977
05/02/2013 00:00:00,1248375060
05/03/2013 00:00:00,1154837299
05/04/2013 00:00:00,1250823974
05/05/2013 00:00:00,1350368486
05/06/2013 00:00:00,1249442306
05/07/2013 00:00:00,1287286915
05/08/2013 00:00:00,1317764234
05/09/2013 00:00:00,1309247690
05/10/2013 00:00:00,1378805423
05/11/2013 00:00:00,1285247872
05/12/2013 00:00:00,1332659771
05/13/2013 00:00:00,1362345195
05/14/2013 00:00:00,1282248288
05/15/2013 00:00:00,1265857857
05/16/2013 00:00:00,1311141593
05/17/2013 00:00:00,1367161863
05/18/2013 00:00:00,1387340767
05/19/2013 00:00:00,1362247955
05/20/2013 00:00:00,1369875149
05/21/2013 00:00:00,1368599956
05/22/2013 00:00:00,1385753744
05/23/2013 00:00:00,1442810736
05/24/2013 00:00:00,1492279321
05/25/2013 00:00:00,1500134688
05/26/2013 00:00:00,1510845801
05/27/2013 00:00:00,1471492984
05/28/2013 00:00:00,1464937536
05/29/2013 00:00:00,1516688989
05/30/2013 00:00:00,1474491865
05/31/2013 00:00:00,1485833266
06/01/2013 00:00:00,1497296279
06/02/2013 00:00:00,1437518940
06/03/2013 00:00:00,1434878264
06/04/2013 00:00:00,1406571248
06/05/2013 00:00:00,1414113137
06/06/2013 00:00:00,1389122831
06/07/2013 00:00:00,1298167181
06/08/2013 00:00:00,1275957117
06/09/2013 00:00:00,1169821260
06/10/2013 00:00:00,1217521361
06/11/2013 00:00:00,1255193073
06/12/2013 00:00:00,1243949445
06/13/2013 00:00:00,1194977143
06/14/2013 00:00:00,1158692638
06/15/2013 00:00:00,1162912903
06/16/2013 00:00:00,1160848891
06/17/2013 00:00:00,1177930986
06/18/2013 00:00:00,1221567394
06/19/2013 00:00:00,1234123284
06/20/2013 00:00:00,1212346811
06/21/2013 00:00:00,1199404454
