,l0,l1,outlier_cutoff,pca_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2
214,60,40,3.5,5.0,7625,0.85,9884,0.59
215,60,40,3.5,7.0,7345,0.87,7967,0.82
216,60,60,1.0,3.0,2335,0.85,12262,0.67
217,60,60,1.0,5.0,2122,0.92,13295,0.71
218,60,60,1.0,7.0,2131,0.92,14562,0.56
219,60,60,1.5,3.0,2065,0.91,11237,0.71
220,60,60,1.5,5.0,1972,0.91,9728,0.71
221,60,60,1.5,7.0,2003,0.92,10311,0.75
222,60,60,2.0,3.0,2330,0.89,12107,0.77
223,60,60,2.0,5.0,2354,0.89,10935,0.7
224,60,60,2.0,7.0,2306,0.89,11847,0.65
225,60,60,2.5,3.0,5581,0.73,9132,0.84
226,60,60,2.5,5.0,5378,0.79,8496,0.72
227,60,60,2.5,7.0,4689,0.83,11777,0.59
228,60,60,3.0,3.0,7907,0.82,7958,0.8
229,60,60,3.0,5.0,7626,0.86,7819,0.7
230,60,60,3.0,7.0,7305,0.88,7096,0.88
231,60,60,3.5,3.0,7640,0.82,8519,0.83
232,60,60,3.5,5.0,7320,0.85,7820,0.74
233,60,60,3.5,7.0,7000,0.88,8479,0.67
234,60,80,1.0,3.0,2123,0.86,14351,0.62
235,60,80,1.0,5.0,2043,0.9,14478,0.68
236,60,80,1.0,7.0,2140,0.92,13037,0.71
237,60,80,1.5,3.0,2005,0.89,10246,0.71
238,60,80,1.5,5.0,1867,0.92,11249,0.66
239,60,80,1.5,7.0,1834,0.92,10821,0.67
240,60,80,2.0,3.0,2360,0.88,9763,0.79
241,60,80,2.0,5.0,2162,0.9,11858,0.71
242,60,80,2.0,7.0,2159,0.9,12640,0.76
243,60,80,2.5,3.0,5296,0.75,8951,0.8
244,60,80,2.5,5.0,5028,0.8,9458,0.66
245,60,80,2.5,7.0,4754,0.83,9945,0.64
246,60,80,3.0,3.0,7621,0.84,7947,0.83
247,60,80,3.0,5.0,7002,0.86,9812,0.6
248,60,80,3.0,7.0,6683,0.89,8167,0.83
249,60,80,3.5,3.0,7395,0.83,8424,0.81
250,60,80,3.5,5.0,7127,0.86,8816,0.66
251,60,80,3.5,7.0,6772,0.89,6397,0.86
252,60,100,1.0,3.0,2072,0.86,12397,0.65
253,60,100,1.0,5.0,1975,0.91,13887,0.61
254,60,100,1.0,7.0,2046,0.92,13153,0.56
255,60,100,1.5,3.0,1913,0.9,9469,0.69
256,60,100,1.5,5.0,1824,0.92,10142,0.64
257,60,100,1.5,7.0,1829,0.92,12178,0.63
258,60,100,2.0,3.0,2226,0.88,11441,0.75
259,60,100,2.0,5.0,2167,0.89,11679,0.83
260,60,100,2.0,7.0,2212,0.89,10730,0.77
261,60,100,2.5,3.0,5384,0.76,7387,0.86
262,60,100,2.5,5.0,4822,0.81,10967,0.69
263,60,100,2.5,7.0,4744,0.84,9256,0.54
264,60,100,3.0,3.0,7317,0.84,7070,0.82
265,60,100,3.0,5.0,6774,0.87,8203,0.77
266,60,100,3.0,7.0,6701,0.88,10905,0.65
267,60,100,3.5,3.0,7203,0.84,7832,0.8
268,60,100,3.5,5.0,7004,0.87,7397,0.73
269,60,100,3.5,7.0,6604,0.89,7904,0.72
270,80,20,1.0,3.0,2596,0.85,13874,0.59
271,80,20,1.0,5.0,2579,0.91,12901,0.71
272,80,20,1.0,7.0,2569,0.9,14322,0.56
273,80,20,1.5,3.0,2579,0.9,12071,0.69
274,80,20,1.5,5.0,2332,0.91,12156,0.69
275,80,20,1.5,7.0,2368,0.91,12160,0.73
276,80,20,2.0,3.0,2472,0.88,14490,0.81
277,80,20,2.0,5.0,2620,0.86,11219,0.72
278,80,20,2.0,7.0,2505,0.88,12012,0.68
279,80,20,2.5,3.0,6204,0.69,10215,0.8
280,80,20,2.5,5.0,5769,0.76,9316,0.63
281,80,20,2.5,7.0,5560,0.8,10347,0.66
282,80,20,3.0,3.0,9030,0.8,9484,0.76
283,80,20,3.0,5.0,8486,0.84,10598,0.67
284,80,20,3.0,7.0,7982,0.87,10022,0.82
285,80,20,3.5,3.0,8475,0.8,8951,0.82
286,80,20,3.5,5.0,8149,0.84,8789,0.75
287,80,20,3.5,7.0,7753,0.87,9333,0.72
288,80,40,1.0,3.0,2288,0.85,12992,0.67
289,80,40,1.0,5.0,2307,0.87,12319,0.65
290,80,40,1.0,7.0,2187,0.89,13775,0.63
291,80,40,1.5,3.0,2169,0.89,10028,0.76
292,80,40,1.5,5.0,2096,0.91,10710,0.75
293,80,40,1.5,7.0,2028,0.92,11146,0.73
294,80,40,2.0,3.0,2340,0.88,12033,0.79
295,80,40,2.0,5.0,2317,0.89,10983,0.74
296,80,40,2.0,7.0,2306,0.9,12522,0.79
297,80,40,2.5,3.0,5931,0.73,7654,0.78
298,80,40,2.5,5.0,5205,0.78,11003,0.68
299,80,40,2.5,7.0,5074,0.82,9591,0.57
300,80,40,3.0,3.0,8218,0.82,8413,0.72
301,80,40,3.0,5.0,7748,0.85,9962,0.74
302,80,40,3.0,7.0,7666,0.88,7508,0.85
303,80,40,3.5,3.0,7797,0.82,8786,0.72
304,80,40,3.5,5.0,7309,0.86,10075,0.7
305,80,40,3.5,7.0,7200,0.88,9352,0.65
306,80,60,1.0,3.0,2121,0.85,13513,0.66
307,80,60,1.0,5.0,2016,0.91,13376,0.64
308,80,60,1.0,7.0,2110,0.92,12844,0.81
309,80,60,1.5,3.0,2004,0.9,11410,0.71
310,80,60,1.5,5.0,1874,0.92,11329,0.79
311,80,60,1.5,7.0,1953,0.92,11155,0.7
312,80,60,2.0,3.0,2312,0.88,10477,0.74
313,80,60,2.0,5.0,2229,0.89,9599,0.79
314,80,60,2.0,7.0,2213,0.89,12022,0.68
315,80,60,2.5,3.0,5317,0.74,9447,0.85
316,80,60,2.5,5.0,5083,0.8,9292,0.69
317,80,60,2.5,7.0,4766,0.83,10166,0.6
318,80,60,3.0,3.0,7548,0.83,8669,0.83
319,80,60,3.0,5.0,7219,0.86,8918,0.62
320,80,60,3.0,7.0,6925,0.89,7603,0.79
